Source,Standard,FTC (No.),CS (MPa),W/C,Min T (C),Max T (C),AE (0/1),DCS (MPa)
Shang et al.,GB/T 50082-2009,0,27.4,0.55,-18,6,0,27.4
Shang et al.,GB/T 50082-2009,25,27.4,0.55,-18,6,0,22.4
Shang et al.,GB/T 50082-2009,50,27.4,0.55,-18,6,0,18.1
Shang et al.,GB/T 50082-2009,75,27.4,0.55,-18,6,0,16.5
Shang et al.,GB/T 50082-2009,0,34.2,0.4,-18,6,1,34.2
Shang et al.,GB/T 50082-2009,50,34.2,0.4,-18,6,1,33.4
Shang et al.,GB/T 50082-2009,100,34.2,0.4,-18,6,1,31.7
Shang et al.,GB/T 50082-2009,150,34.2,0.4,-18,6,1,27.6
Shang et al.,GB/T 50082-2009,200,34.2,0.4,-18,6,1,26.4
Shang et al.,GB/T 50082-2009,300,34.2,0.4,-18,6,1,21.1
Xiao et al.,GB/T 50082-2009,0,61.8,0.35,-18,6,1,61.8
Xiao et al.,GB/T 50082-2009,50,61.8,0.35,-18,6,1,60.9
Xiao et al.,GB/T 50082-2009,100,61.8,0.35,-18,6,1,59.2
Xiao et al.,GB/T 50082-2009,150,61.8,0.35,-18,6,1,55.8
Xiao et al.,GB/T 50082-2009,200,61.8,0.35,-18,6,1,52.6
Xiao et al.,GB/T 50082-2009,250,61.8,0.35,-18,6,1,49.3
Xiao et al.,GB/T 50082-2009,300,61.8,0.35,-18,6,1,45.6
Xiao et al.,GB/T 50082-2009,0,49.7,0.45,-18,6,1,49.7
Xiao et al.,GB/T 50082-2009,50,49.7,0.45,-18,6,1,48.9
Xiao et al.,GB/T 50082-2009,100,49.7,0.45,-18,6,1,48.1
Xiao et al.,GB/T 50082-2009,150,49.7,0.45,-18,6,1,42.6
Xiao et al.,GB/T 50082-2009,200,49.7,0.45,-18,6,1,41.3
Xiao et al.,GB/T 50082-2009,250,49.7,0.45,-18,6,1,39.6
Xiao et al.,GB/T 50082-2009,300,49.7,0.45,-18,6,1,35.7
Yang et al.,-,0,30.6,0.6,-16,8,0,30.6
Yang et al.,-,25,30.6,0.6,-16,8,0,28.5
Yang et al.,-,50,30.6,0.6,-16,8,0,25.4
Yang et al.,-,75,30.6,0.6,-16,8,0,23.3
Yang et al.,-,100,30.6,0.6,-16,8,0,21.6
Yang et al.,-,125,30.6,0.6,-16,8,0,19.8
Li et al.,-,0,37.2,0.45,-18,5,0,37.2
Li et al.,-,50,37.2,0.45,-18,5,0,36.1
Li et al.,-,100,37.2,0.45,-18,5,0,35.4
Li et al.,-,150,37.2,0.45,-18,5,0,33.9
Li et al.,-,200,37.2,0.45,-18,5,0,33.1
Li et al.,-,250,37.2,0.45,-18,5,0,30.2
Li et al.,-,0,30.3,0.45,-18,5,1,30.3
Li et al.,-,50,30.3,0.45,-18,5,1,28.9
Li et al.,-,100,30.3,0.45,-18,5,1,28.4
Li et al.,-,150,30.3,0.45,-18,5,1,27.2
Li et al.,-,200,30.3,0.45,-18,5,1,26.2
Li et al.,-,250,30.3,0.45,-18,5,1,25.4
Li et al.,-,300,30.3,0.45,-18,5,1,25
Fu et al.,GB/T 50082-2009,0,47.4,0.38,-17,5,0,47.4
Fu et al.,GB/T 50082-2009,5,47.4,0.38,-17,5,0,44.8
Fu et al.,GB/T 50082-2009,10,47.4,0.38,-17,5,0,43.6
Fu et al.,GB/T 50082-2009,15,47.4,0.38,-17,5,0,42.2
Fu et al.,GB/T 50082-2009,20,47.4,0.38,-17,5,0,39.3
Fu et al.,GB/T 50082-2009,0,57.1,0.35,-17,5,0,57.1
Fu et al.,GB/T 50082-2009,5,57.1,0.35,-17,5,0,54.2
Fu et al.,GB/T 50082-2009,10,57.1,0.35,-17,5,0,53.7
Fu et al.,GB/T 50082-2009,15,57.1,0.35,-17,5,0,49.2
Fu et al.,GB/T 50082-2009,20,57.1,0.35,-17,5,0,47.2
Fu et al.,GB/T 50082-2009,0,52.5,0.41,-17,5,0,52.5
Fu et al.,GB/T 50082-2009,5,52.5,0.41,-17,5,0,48.4
Fu et al.,GB/T 50082-2009,10,52.5,0.41,-17,5,0,47.3
Fu et al.,GB/T 50082-2009,15,52.5,0.41,-17,5,0,46.6
Fu et al.,GB/T 50082-2009,20,52.5,0.41,-17,5,0,44.1
Xu et al.,-,0,42.2,0.43,-16,6,1,42.2
Xu et al.,-,25,42.2,0.43,-16,6,1,40.5
Xu et al.,-,50,42.2,0.43,-16,6,1,38.1
Xu et al.,-,75,42.2,0.43,-16,6,1,34.8
Xu et al.,-,100,42.2,0.43,-16,6,1,31.2
Xu et al.,-,125,42.2,0.43,-16,6,1,29.1
Xu et al.,-,150,42.2,0.43,-16,6,1,27.5
Xu et al.,-,0,51.6,0.4,-16,6,1,51.6
Xu et al.,-,25,51.6,0.4,-16,6,1,49.9
Xu et al.,-,50,51.6,0.4,-16,6,1,48
Xu et al.,-,75,51.6,0.4,-16,6,1,45.7
Xu et al.,-,100,51.6,0.4,-16,6,1,42.5
Xu et al.,-,125,51.6,0.4,-16,6,1,39.3
Xu et al.,-,150,51.6,0.4,-16,6,1,37.2
Xu et al.,-,0,62.9,0.35,-16,6,1,62.9
Xu et al.,-,25,62.9,0.35,-16,6,1,61.6
Xu et al.,-,50,62.9,0.35,-16,6,1,60
Xu et al.,-,75,62.9,0.35,-16,6,1,57.8
Xu et al.,-,100,62.9,0.35,-16,6,1,54.6
Xu et al.,-,125,62.9,0.35,-16,6,1,51.5
Xu et al.,-,150,62.9,0.35,-16,6,1,48.5
Algin and Girginci,ASTM C666-97,0,64,0.41,-18,5,0,64
Algin and Girginci,ASTM C666-97,100,64,0.41,-18,5,0,62.1
Algin and Girginci,ASTM C666-97,200,64,0.41,-18,5,0,60.5
Algin and Girginci,ASTM C666-97,300,64,0.41,-18,5,0,59.4
Shang et al.,GB/T 50082-2009,0,19.7,0.55,-15,6,0,19.7
Shang et al.,GB/T 50082-2009,25,19.7,0.55,-15,6,0,15.3
Shang et al.,GB/T 50082-2009,50,19.7,0.55,-15,6,0,10
Tian and Han,-,0,43.1,0.4,-20,20,0,43.1
Tian and Han,-,25,43.1,0.4,-20,20,0,40.5
Tian and Han,-,50,43.1,0.4,-20,20,0,38.9
Tian and Han,-,75,43.1,0.4,-20,20,0,36.1
Tian and Han,-,100,43.1,0.4,-20,20,0,34.2
